epoch;acc;loss;val_acc;val_loss
0;0.8074074082904392;0.6296615997950236;1.0;0.06678380817174911
1;0.8148148156978466;0.4355599257681105;1.0;0.1598106324672699
2;0.8296296305126614;0.3416550744462896;1.0;0.1816393882036209
3;0.8962962967378122;0.26732554612336334;1.0;0.061549119651317596
4;0.911111111552627;0.23656692659413373;1.0;0.04039837419986725
5;0.9185185189600344;0.1914789209763209;1.0;0.04826405271887779
6;0.9259259259259259;0.16886397478757081;1.0;0.06894010305404663
7;0.9333333337748492;0.156348991283664;1.0;0.06324410438537598
8;0.9629629634044788;0.14148597849739922;1.0;0.048356011509895325
9;0.9555555555555556;0.10777942361655059;1.0;0.03940229117870331
10;0.9407407407407408;0.13819103729393747;1.0;0.05173342674970627
11;0.9703703708118863;0.08126982925114808;1.0;0.0702856257557869
12;0.9851851851851852;0.08591451319279494;1.0;0.07666951417922974
13;0.9851851851851852;0.07333021544747882;1.0;0.058859482407569885
14;0.9851851851851852;0.08413095065840968;1.0;0.041947316378355026
15;1.0;0.04430348339180152;1.0;0.02735576406121254
16;0.9703703703703703;0.06557159685978182;1.0;0.022132836282253265
17;0.9851851851851852;0.05641472209934835;1.0;0.02108587697148323
18;0.9925925930341085;0.0389552961896967;1.0;0.02556472457945347
19;0.9925925925925926;0.04240281396993884;1.0;0.04601117968559265
20;1.0;0.037890672242199934;1.0;0.05758034437894821
21;1.0;0.04067717729895203;1.0;0.044310349971055984
22;1.0;0.0295286331049822;1.0;0.027596522122621536
23;0.9851851851851852;0.046319895844768595;1.0;0.021051187068223953
24;1.0;0.021056505603094897;1.0;0.01635763794183731
25;0.9851851851851852;0.026996098203515565;1.0;0.01451230887323618
26;1.0;0.025444438308477403;1.0;0.01512384694069624
27;1.0;0.015982536281700488;1.0;0.0194997638463974
28;1.0;0.024452402663451653;1.0;0.03117382526397705
29;1.0;0.01989941566630646;1.0;0.04438355565071106
30;1.0;0.028325951527114267;1.0;0.0422220416367054
31;1.0;0.021068349625501366;1.0;0.029377970844507217
32;1.0;0.013650106921516083;1.0;0.019279327243566513
33;1.0;0.01778546108139886;1.0;0.015050849877297878
34;1.0;0.010571102784187705;1.0;0.014668213203549385
35;1.0;0.016024578328209894;1.0;0.01398494653403759
36;1.0;0.018185586758233882;1.0;0.016193535178899765
37;1.0;0.009673829211129083;1.0;0.019350025802850723
38;1.0;0.013162524460090532;1.0;0.02068127691745758
39;1.0;0.0104909331848224;1.0;0.021111829206347466
40;1.0;0.01275955115755399;1.0;0.019136525690555573
41;1.0;0.016168265665570895;1.0;0.016659706830978394
42;1.0;0.010165731215642558;1.0;0.013794401660561562
43;1.0;0.008141033285883842;1.0;0.011554128490388393
44;1.0;0.007667162127930809;1.0;0.010890886187553406
45;1.0;0.013710608654138114;1.0;0.011717673391103745
46;1.0;0.007413472614630505;1.0;0.012408176437020302
47;1.0;0.008169995438031576;1.0;0.012413520365953445
48;1.0;0.010469059425371664;1.0;0.01255602017045021
49;1.0;0.006029972278823455;1.0;0.012246685102581978
